"","month","counterparty_name","region","factory","deal_type","volume","price","market_price","market_price_prev","inflation","inp_1","inp_2"
"40","2019-01-01 00:00:00","386","38","5","3","1.00109","145.39","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"41","2019-01-01 00:00:00","387","15","4","3","31.307097","159.77490543853","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"42","2019-01-01 00:00:00","392","6","3","3","1.990302","178.30458384707","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"43","2019-01-01 00:00:00","395","4","1","3","9.915842","142.84","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"44","2019-01-01 00:00:00","401","41","6","4","32.454283","139.78019228784","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"45","2019-01-01 00:00:00","411","24","4","4","147.023728","158.07105859042","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"46","2019-01-01 00:00:00","411","24","6","4","18.8016266","143.86","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"47","2019-01-01 00:00:00","419","24","4","4","35.627035","157.12036138146","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"48","2019-01-01 00:00:00","419","24","8","4","17.7737294","153.75399988624","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"49","2019-01-01 00:00:00","442","36","8","3","68.9139894","158.50911525638","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"50","2019-01-01 00:00:00","447","38","6","4","6.9469211","138.76","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"51","2019-01-01 00:00:00","454","24","4","4","227.218682","154.59350181258","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"52","2019-01-01 00:00:00","454","24","6","4","6.9235769","148.96","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"53","2019-01-01 00:00:00","466","6","3","3","1.494112","179.57906314922","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"54","2019-01-01 00:00:00","476","36","8","3","4.8063926","174.46","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"55","2019-01-01 00:00:00","498","4","1","3","5.06999","142.84","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"56","2019-01-01 00:00:00","499","42","6","4","102.9397349","153.84249287314","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"57","2019-01-01 00:00:00","507","24","8","4","168.1407963","155.57611255756","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"58","2019-01-01 00:00:00","525","42","6","4","72.9286452","145.40757883285","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"59","2019-01-01 00:00:00","540","21","1","3","13.816046","142.84","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
"60","2019-01-01 00:00:00","559","42","6","3","18.819217","153.02071110969","147.77425","144.6352","0.9978","9.1620898167857","8.6704182472527"
