,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
AEO,0,0,0,0,0,0,0,0,0,0
AEON,0,0,0,0,0,0,0,0,0,0
AEP,0,0,0,0,1,0,1,1,1,0
AER,0,0,0,0,0,0,0,0,0,0
AERT,0,0,0,0,0,0,0,0,0,0
AERTW,0,0,0,0,0,0,0,0,0,0
AES,0,0,1,1,0,1,0,0,1,0
AESI,0,0,0,0,0,0,0,0,0,0
AEVA,0,0,0,0,0,0,0,0,0,0
AEYE,0,0,0,0,0,0,0,0,0,0
AFB,0,0,0,0,0,0,0,0,0,0
AFBI,0,0,0,0,0,0,0,0,0,0
AFCG,0,0,0,0,0,0,0,0,0,0
AFG,0,0,0,0,0,0,0,0,0,0
AFGB,0,0,0,0,0,0,0,0,0,0
AFGC,0,0,0,0,0,0,0,0,0,0
AFGD,0,0,0,0,0,0,0,0,0,0
AFGE,0,0,0,0,0,0,0,0,0,0
AFJK,0,0,0,0,0,0,0,0,0,0
AFL,0,0,0,0,0,1,0,0,0,0
AFMD,0,0,0,0,0,0,0,0,0,0
AFRI,0,0,0,0,0,0,0,0,0,0
AFRM,0,0,0,0,0,0,0,0,0,0
AFYA,0,0,0,0,0,0,0,0,0,0
AG,0,0,0,0,0,0,0,0,0,0
AGAE,0,0,0,0,0,0,0,0,0,0
AGCO,0,0,0,0,0,0,0,0,0,1
AGD,0,0,0,0,0,0,0,0,0,0
AGEN,0,0,0,0,0,0,0,0,0,0
AGFY,0,0,0,0,0,0,1,0,0,0
AGI,0,0,0,0,0,0,0,0,0,1
AGIO,0,0,0,0,0,0,0,0,0,0
AGL,0,0,0,0,0,0,0,0,0,0
AGM,0,0,0,0,0,0,0,0,0,0
AGMH,0,0,0,0,0,0,0,0,0,1
AGM^D,0,0,0,0,0,0,0,0,0,0
AGM^E,0,0,0,0,0,0,0,0,0,0
AGM^F,0,0,0,0,0,0,0,0,0,0
AGM^G,0,0,0,0,0,0,0,0,0,0
AGNC,0,0,0,0,0,0,0,0,0,0
AGNCL,0,0,0,0,0,0,0,0,0,0
AGNCM,0,0,0,0,0,0,0,0,0,0
AGNCN,0,0,0,0,0,0,0,0,0,0
AGNCO,0,0,0,0,0,0,0,0,0,0
AGNCP,0,0,0,0,0,0,0,0,0,0
AGO,0,0,0,0,0,0,0,0,0,0
AGR,0,0,0,0,0,0,0,0,0,0
AGRI,0,0,0,0,0,0,0,0,0,0
AGRO,0,0,0,0,0,0,0,0,0,0
AGS,0,0,0,0,0,0,0,0,0,0
AGX,0,0,0,0,0,0,0,0,0,0
AGYS,0,0,0,0,0,0,0,0,0,0
AHCO,0,0,0,0,0,0,0,0,0,0
AHG,0,0,0,0,0,0,0,0,0,0
AHH,0,0,0,0,0,0,0,0,0,0
AHH^A,0,0,0,0,0,0,0,0,0,0
AHL^C,0,0,0,0,0,0,0,0,0,0
AHL^D,0,0,0,0,0,0,0,0,0,0
AHL^E,0,0,0,0,0,0,0,0,0,0
AHL^F,0,0,0,0,0,0,0,0,0,0
AHR,0,0,0,0,0,0,0,0,0,0
AHT,0,0,1,0,0,0,0,0,0,1
AHT^D,0,0,0,0,0,0,0,0,0,0
AHT^F,0,0,0,0,0,0,0,0,0,0
AHT^G,0,0,0,0,0,0,0,0,0,0
AHT^H,0,0,0,0,0,0,0,0,0,0
AHT^I,0,0,0,0,0,0,0,0,0,0
AI,0,0,0,0,0,0,0,0,0,0
AIEV,0,0,0,0,0,0,0,0,0,0
AIFF,0,0,0,0,0,0,0,0,0,0
AIFU,0,0,1,0,1,0,0,0,0,0
AIG,0,0,1,0,0,0,0,0,0,0
AIHS,0,0,0,0,0,0,0,0,0,0
AILE,0,0,0,0,0,0,0,0,0,0
AILEW,0,0,0,0,0,0,0,0,0,0
AIM,0,0,0,0,0,0,0,0,0,0
AIMAU,0,0,0,0,0,0,0,0,0,0
AIMBU,0,0,0,0,0,0,0,0,0,0
AIMD,0,0,0,0,0,0,0,0,0,0
AIMDW,0,0,0,0,0,0,0,0,0,0
AIN,0,0,0,0,0,0,0,0,0,0
AIO,0,0,0,0,0,0,0,0,0,0
AIOT,0,0,0,0,0,0,0,0,0,0
AIP,0,0,0,0,0,0,0,0,0,0
AIR,0,0,0,0,0,0,0,0,0,0
AIRE,0,0,0,0,0,0,0,0,0,0
AIRG,0,0,0,0,0,0,0,0,0,0
AIRI,0,0,0,0,0,0,0,0,0,0
AIRJ,0,0,0,0,0,0,0,0,0,0
AIRJW,0,0,0,0,0,0,0,0,0,0
AIRS,0,0,0,0,0,0,0,0,0,0
AIRT,0,0,0,0,0,0,0,0,0,0
AIRTP,0,0,0,0,0,0,0,0,0,0
AISP,0,0,0,0,0,0,0,0,0,0
AISPW,0,0,0,0,0,0,0,0,0,0
AIT,0,0,0,0,0,0,0,0,0,0
AITR,0,0,0,0,0,0,0,0,0,0
AITRR,0,0,0,0,0,0,0,0,0,0
AITRU,0,0,0,0,0,0,0,0,0,0
AIV,0,0,1,0,0,0,0,0,0,0
AIXI,0,0,0,0,0,0,0,0,0,0
AIZ,0,0,0,1,1,0,0,0,0,0
AIZN,0,0,0,0,0,0,0,0,0,0
AJG,0,0,0,0,0,0,1,0,0,0
AKA,0,0,0,0,0,0,0,0,0,0
AKAM,0,0,0,0,0,0,0,0,0,0
AKAN,0,0,0,0,0,0,0,0,0,0
AKBA,0,0,0,0,0,0,0,0,0,0
AKO/A,0,0,0,0,0,0,0,0,0,0
AKO/B,0,0,0,0,0,0,0,0,0,0
AKR,0,0,0,0,0,0,0,0,0,0
AKRO,0,0,0,0,0,0,0,0,0,0
AKTS,0,0,0,0,0,1,0,0,0,0
AKTX,0,0,0,0,0,0,0,0,0,0
AKYA,0,0,0,0,0,0,0,0,0,0
AL,0,0,0,0,0,0,0,0,0,0
ALAB,0,0,0,0,0,0,0,0,0,0
ALAR,0,0,0,0,0,0,0,0,0,0
ALB,0,0,0,1,0,0,0,0,0,0
ALBT,0,0,0,0,0,0,0,0,0,0
ALB^A,0,0,0,0,0,0,0,0,0,0
ALC,0,0,0,0,0,0,0,0,0,0
ALCE,0,0,0,0,0,0,0,0,0,0
ALCO,0,0,0,0,0,0,0,0,0,0
ALCY,0,0,0,0,0,0,0,0,0,0
ALDFU,0,0,0,0,0,0,0,0,0,0
ALDX,0,0,0,0,0,0,0,0,0,0
ALE,0,0,0,0,0,0,0,0,0,0
ALEC,0,0,0,0,0,0,0,0,0,0
ALEX,0,0,0,0,0,0,0,0,0,0
ALF,0,0,0,0,0,0,0,0,0,0
ALFUU,0,0,0,0,0,0,0,0,0,0
ALFUW,0,0,0,0,0,0,0,0,0,0
ALG,0,0,0,0,0,0,0,0,0,0
ALGM,0,0,0,0,0,0,0,0,0,0
ALGN,0,0,0,1,0,0,0,0,0,0
ALGS,0,0,0,0,0,0,0,0,0,0
ALGT,0,0,0,0,0,0,0,0,0,0
ALHC,0,0,0,0,0,0,0,0,0,0
ALIT,0,0,0,0,0,0,0,0,0,0
ALK,0,0,0,0,0,0,0,0,0,0
ALKS,0,0,0,0,0,0,0,0,0,0
ALKT,0,0,0,0,0,0,0,0,0,0
ALL,0,0,0,1,0,0,0,0,0,0
ALLE,0,0,0,0,0,0,0,0,0,0
ALLK,0,0,0,0,0,0,0,0,0,0
ALLO,0,0,0,0,0,0,0,0,0,0
ALLR,0,0,0,0,0,0,0,0,0,0
ALLT,0,0,0,0,0,0,0,0,0,0
ALLY,0,0,0,0,0,0,0,0,0,0
ALL^B,0,0,0,0,0,0,0,0,0,0
ALL^H,0,0,0,0,0,0,0,0,0,0
ALL^I,0,0,0,0,0,0,0,0,0,0
ALL^J,0,0,0,0,0,0,0,0,0,0
ALMS,0,0,0,0,0,0,0,0,0,0
ALNT,0,0,1,0,0,0,0,0,0,0
ALNY,0,0,0,0,0,0,0,0,0,0
ALOT,0,0,0,0,0,0,0,0,0,0
ALRM,0,0,0,0,0,0,0,0,0,0
ALRN,0,0,0,0,0,0,0,0,0,0
ALRS,0,0,0,0,0,0,0,0,0,0
ALSA,0,0,0,0,0,0,0,0,0,0
ALSN,0,0,0,0,0,0,0,0,0,0
ALT,0,0,0,0,0,0,0,0,0,0
ALTG,0,0,0,0,0,0,0,0,0,0
ALTG^A,0,0,0,0,0,0,0,0,0,0
ALTI,0,0,0,0,0,0,0,0,0,0
ALTM,0,0,0,0,0,0,0,0,0,0
ALTO,0,0,0,0,0,0,0,0,0,0
ALTR,0,0,0,0,0,0,0,0,0,0
ALTS,0,0,0,0,0,0,0,0,0,0
ALUR,0,0,0,0,0,0,0,0,0,0
ALV,0,1,1,0,0,0,0,0,0,0
ALVO,0,0,0,0,0,0,0,0,0,0
ALVOW,0,0,0,0,0,0,0,0,0,0
ALVR,0,0,0,0,0,0,0,0,0,0
ALX,0,0,0,0,0,0,0,0,0,0
ALXO,0,0,0,0,0,0,0,0,0,0
ALZN,0,0,0,0,0,0,0,0,0,0
AM,0,0,0,0,0,0,0,0,0,0
AMAL,0,0,0,0,0,0,0,0,0,0
AMAT,0,0,1,0,0,0,0,0,0,0
AMBA,0,0,0,0,0,0,0,0,0,0
AMBC,0,0,0,0,0,0,0,0,0,0
AMBI,0,0,0,0,0,0,0,0,0,0
AMBO,0,0,0,0,0,0,0,0,0,0
AMBP,0,0,0,0,0,0,0,0,0,0
AMC,0,0,1,1,0,0,0,0,0,0
AMCR,0,0,0,0,1,0,0,0,0,0
AMCX,0,0,0,0,0,0,0,0,0,0
AMD,0,0,0,0,0,0,0,0,0,0
AME,0,0,0,0,0,0,0,0,0,0
AMED,0,0,0,0,0,0,0,0,0,0
AMG,0,0,0,0,0,0,0,0,0,0
AMGN,0,1,1,0,1,0,0,0,1,0
AMH,0,0,0,0,0,0,0,0,0,0
AMH^G,0,0,0,0,0,0,0,0,0,0
AMH^H,0,0,0,0,0,0,0,0,0,0
AMIX,0,0,0,0,0,0,0,0,0,0
AMKR,0,0,0,0,0,0,0,0,0,0
AMLI,0,0,0,0,0,0,0,0,0,0
AMLX,0,0,0,0,0,0,0,0,0,0
AMN,0,0,0,0,0,0,1,0,0,0
AMP,0,0,0,0,0,0,0,0,0,0
AMPG,0,0,0,0,0,0,0,0,0,0
AMPH,0,0,0,0,0,0,0,0,0,0
AMPL,0,0,0,0,0,0,0,0,0,0
AMPS,0,0,0,0,0,0,0,0,0,0
AMPX,0,0,0,0,0,0,0,0,0,0
AMPY,0,0,0,0,0,0,0,0,0,0
AMR,0,0,0,1,0,0,0,0,0,0
AMRC,0,0,0,0,0,0,0,0,0,0
AMRK,0,0,0,0,0,0,0,0,0,0
AMRN,0,0,0,0,0,0,0,0,0,0
AMRX,0,0,0,0,0,0,0,0,0,0
AMS,0,0,0,0,0,0,0,0,0,0
AMSC,0,0,1,0,1,1,0,0,0,0
AMSF,0,0,0,0,0,0,0,0,0,0
AMST,0,0,0,0,0,0,0,0,0,0
AMT,0,0,1,0,0,0,0,0,0,0
AMTB,0,0,0,0,0,0,0,0,0,0
AMTD,0,0,0,0,1,0,0,0,0,0
AMTM,0,0,0,0,0,0,0,0,0,0
AMTX,0,0,0,0,0,0,0,0,0,0
AMWD,0,0,0,1,0,0,0,0,0,0
AMWL,0,0,0,0,0,0,0,0,0,0
AMX,0,1,0,0,0,0,0,0,0,0
AMZN,0,0,1,0,0,1,1,1,1,1
AN,0,0,0,0,0,0,0,0,0,0
ANAB,0,0,0,0,0,0,0,0,0,0
ANDE,0,0,0,1,0,0,0,0,0,0
ANEB,0,0,0,0,0,0,0,0,0,0
ANET,0,0,0,0,0,0,0,0,0,0
ANF,0,0,0,0,0,0,0,0,0,0
ANGH,0,0,0,0,0,0,0,0,0,0
ANGHW,0,0,0,0,0,0,0,0,0,0
ANGI,0,0,0,0,0,0,0,0,0,0
ANGO,1,0,0,0,0,0,0,0,0,0
ANG^A,0,0,0,0,0,0,0,0,0,0
ANG^B,0,0,0,0,0,0,0,0,0,0
ANIK,0,0,0,0,0,0,0,0,0,0
ANIP,0,0,0,0,0,0,0,0,0,0
ANIX,0,0,0,0,0,0,0,0,0,0
ANL,0,0,0,0,0,0,0,0,0,0
ANNX,0,0,0,0,0,0,0,0,0,0
ANRO,0,0,0,0,0,0,0,0,0,0
ANSC,0,0,0,0,0,0,0,0,0,0
ANSS,0,0,0,0,0,0,0,0,0,0
ANTE,0,0,0,0,0,0,0,0,0,0
ANTX,0,0,0,0,0,0,0,0,0,0
ANVS,0,0,0,0,0,0,0,0,0,0
ANY,0,0,0,0,0,0,0,0,0,0
AOD,0,0,0,0,0,0,0,0,0,0
AOMN,0,0,0,0,0,0,0,0,0,0
AOMR,0,0,0,0,0,0,0,0,0,0
AON,0,0,1,0,0,0,0,0,0,0
AORT,0,0,0,0,0,0,0,0,0,0
AOS,0,0,0,1,0,0,0,0,0,0
AOSL,0,0,0,0,0,0,0,0,0,0
AOUT,0,0,0,0,0,0,0,0,0,0
AP,0,0,0,0,0,0,0,0,0,0
APA,0,0,0,0,0,0,0,0,0,1
APAM,0,0,0,0,0,0,0,0,0,0
APCX,0,0,0,0,0,0,0,0,0,0
APCXW,0,0,0,0,0,0,0,0,0,0
APD,0,1,0,0,0,0,0,0,0,0
APDN,0,0,0,0,0,0,0,0,0,0
APEI,0,0,0,0,0,0,0,0,0,0
APG,0,0,0,0,0,0,0,0,0,0
APGE,0,0,0,0,0,0,0,0,0,0
APH,0,0,0,0,0,0,0,0,0,0
API,0,0,0,0,0,0,0,0,0,0
APLD,0,0,0,0,0,0,0,0,0,0
APLE,0,0,0,0,0,0,0,0,0,0
APLM,0,0,0,0,0,0,0,0,0,0
APLMW,0,0,0,0,0,0,0,0,0,0
APLS,0,0,0,0,0,0,0,0,0,0
APLT,0,0,0,0,0,0,0,0,0,0
APM,0,0,0,0,0,0,0,0,0,0
APO,0,1,1,0,1,0,0,0,0,0
APOG,0,0,1,0,0,0,0,0,0,0
APOS,0,0,0,0,0,0,0,0,0,0
APO^A,0,0,0,0,0,0,0,0,0,0
APP,0,0,0,0,0,0,0,0,0,0
APPF,0,0,0,0,0,0,0,0,0,0
APPN,0,0,0,0,0,0,0,0,0,0
APPS,0,0,0,0,0,0,0,0,0,0
APRE,0,0,0,0,0,0,0,0,0,0
APT,0,0,0,0,0,0,0,0,0,0
APTO,0,0,0,0,0,0,0,0,0,0
APTV,0,0,0,0,0,0,0,0,0,0
APVO,0,0,0,0,0,0,0,0,0,0
APWC,0,0,0,0,0,0,0,0,0,0
APXI,0,0,0,0,0,0,0,0,0,0
APYX,0,0,0,0,0,0,0,0,0,0
AQB,0,0,0,0,0,0,0,0,0,0
AQMS,0,0,0,0,0,0,0,0,0,0
AQN,0,0,0,0,0,0,1,1,0,0
AQNB,0,0,0,0,0,0,0,0,0,0
AQST,0,0,0,0,0,0,0,0,0,0
AQU,0,0,0,0,0,0,0,0,0,0
AQUNR,0,0,0,0,0,0,0,0,0,0
AR,0,0,0,0,0,0,0,0,0,0
ARAY,0,0,0,0,0,0,0,0,0,0
ARBB,0,0,0,0,0,0,0,0,0,0
ARBE,0,0,0,0,0,0,0,0,0,0
ARBEW,0,0,0,0,0,0,0,0,0,0
ARBK,0,0,0,0,0,0,0,0,0,0
ARBKL,0,0,0,0,0,0,0,0,0,0
ARCB,0,0,0,0,0,0,0,0,0,0
ARCC,0,0,0,0,0,0,0,0,0,0
ARCH,0,0,0,0,0,0,0,0,0,0
ARCO,0,0,0,0,0,0,0,0,0,0
ARCT,0,0,0,0,0,0,0,0,0,0
ARDC,0,0,0,0,0,0,0,0,0,0
ARDT,0,0,0,0,0,0,0,0,0,0
ARDX,0,0,0,0,0,0,0,0,0,0
ARE,0,0,0,0,0,0,0,0,0,0
AREB,0,0,0,0,0,0,0,0,0,0
AREBW,0,0,0,0,0,0,0,0,0,0
AREC,0,0,0,0,0,0,0,0,0,0
AREN,0,0,0,0,1,0,0,0,0,0
ARES,0,0,0,1,0,0,0,0,0,0
ARES^B,0,0,0,0,0,0,0,0,0,0
ARGD,0,0,0,0,0,0,0,0,0,0
ARGO^A,0,0,0,0,0,0,0,0,0,0
ARGX,0,0,0,0,0,0,0,0,0,0
ARHS,0,0,0,0,0,0,0,0,0,0
ARI,0,0,0,0,0,0,0,0,0,0
ARIS,0,0,0,0,0,0,0,0,0,0
ARKO,0,0,0,0,0,0,0,1,0,0
ARKOW,0,0,0,0,0,0,0,1,0,0
ARKR,0,0,0,0,0,0,0,0,0,0
ARL,0,0,0,0,0,0,0,0,0,0
ARLO,0,0,0,0,0,0,0,0,0,0
ARLP,0,0,0,0,0,0,0,0,0,0
ARM,0,0,0,0,0,0,0,0,1,0
ARMK,0,0,0,0,0,0,0,0,0,0
ARMN,0,0,0,0,0,0,0,0,0,0
ARMP,0,0,0,0,0,0,0,0,0,0
AROC,0,0,0,0,0,0,0,0,0,0
AROW,0,0,0,0,0,0,0,0,0,0
ARQ,0,0,0,1,0,0,0,0,0,0
ARQQ,0,0,0,0,0,0,0,0,0,0
ARQQW,0,0,0,0,0,0,0,0,0,0
ARQT,0,0,0,0,0,0,0,0,0,0
ARR,0,0,0,0,0,0,0,0,0,0
ARRY,0,0,0,0,0,0,0,0,0,0
ARR^C,0,0,0,0,0,0,0,0,0,0
ARTL,0,0,0,0,0,0,0,0,0,0
ARTNA,0,0,0,0,0,0,0,0,0,0
ARTV,0,0,0,0,0,0,0,0,0,0
ARTW,0,0,0,0,0,0,0,0,0,0
ARVN,0,0,0,0,0,0,0,0,0,0
ARW,0,0,0,0,0,0,0,0,0,0
ARWR,0,0,0,0,0,0,0,0,0,0
AS,0,0,0,0,0,0,0,0,0,0
ASA,0,0,0,0,0,0,0,0,0,0
ASAI,0,0,0,0,0,0,0,0,0,0
ASAN,0,0,0,0,0,0,0,0,0,1
ASB,0,0,1,0,0,0,0,0,0,0
ASBA,0,0,0,0,0,0,0,0,0,0
ASB^E,0,0,0,0,0,0,0,0,0,0
ASB^F,0,0,0,0,0,0,0,0,0,0
ASC,0,0,1,0,0,0,0,0,0,0
ASG,0,0,0,0,0,0,0,0,0,0
ASGI,0,0,0,0,0,0,0,0,0,0
ASGN,0,0,0,0,0,1,1,0,0,0
ASH,0,0,0,0,0,0,0,0,0,0
ASIX,0,0,0,0,0,0,0,0,0,0
ASLE,0,0,0,0,0,0,0,0,0,0
ASM,0,0,0,0,0,0,0,0,0,0
ASMB,0,0,0,0,0,0,0,0,0,0
ASML,0,1,0,1,0,1,1,0,0,0
ASND,0,0,0,0,0,0,0,0,0,0
ASNS,0,0,0,0,0,0,0,0,0,0
ASO,0,0,0,0,0,1,0,0,0,0
ASPCU,0,0,0,0,0,0,0,0,0,0
ASPI,0,0,0,0,0,0,0,0,0,0
ASPN,0,0,0,0,0,0,0,0,0,0
ASPS,0,0,0,1,0,0,0,0,0,0
ASR,0,0,1,0,0,0,0,0,0,0
ASRT,0,0,0,0,0,0,0,0,0,0
ASRV,0,0,0,0,0,0,0,0,0,0
ASST,0,0,0,0,0,0,0,0,0,0
ASTC,0,0,0,0,0,0,0,0,0,0
ASTE,0,0,0,0,0,0,0,0,0,0
ASTH,0,0,0,0,0,0,0,0,0,0
ASTI,0,0,0,0,0,0,0,0,0,0
ASTL,0,0,0,0,0,0,0,0,0,0
ASTLW,0,0,0,0,0,0,0,0,0,0
ASTS,0,0,0,0,0,0,0,0,0,0
ASUR,0,0,0,0,0,0,0,0,0,0
ASX,0,0,0,0,0,0,0,0,0,0
ASYS,0,0,0,0,0,0,0,0,0,0
ATAI,0,0,0,1,0,0,0,0,0,0
ATAT,0,0,0,0,0,0,0,0,0,0
ATCH,0,0,0,0,0,0,0,0,0,0
ATCOL,0,0,0,0,0,0,0,0,0,0
ATCO^D,0,0,0,0,0,0,0,0,0,0
ATCO^H,0,0,0,0,0,0,0,0,0,0
ATEC,0,0,0,0,0,0,0,0,0,0
ATEK,0,0,0,0,0,0,0,0,0,0
ATEN,0,0,0,0,0,0,0,0,0,0
ATER,0,0,0,0,0,0,0,0,0,0
ATEX,0,0,0,0,0,0,0,0,0,0
ATGE,0,0,0,0,0,0,0,0,0,0
ATGL,0,0,0,0,0,0,0,0,0,0
ATHA,0,0,0,0,0,0,0,0,0,0
ATHE,0,0,0,0,0,0,0,0,0,0
ATHM,0,0,0,0,0,0,0,0,0,0
ATHS,0,0,0,0,0,0,0,0,0,0
ATH^A,0,0,0,0,0,0,0,0,0,0
ATH^B,0,0,0,0,0,0,0,0,0,0
ATH^C,0,0,0,0,0,0,0,0,0,0
ATH^D,0,0,0,0,0,0,0,0,0,0
ATH^E,0,0,0,0,0,0,0,0,0,0
ATI,0,0,0,0,0,0,0,0,0,0
ATIF,0,0,0,0,0,0,0,0,0,0
ATKR,0,0,0,1,0,0,0,0,0,0
ATLC,0,0,0,0,0,0,0,0,0,0
ATLCL,0,0,0,0,0,0,0,0,0,0
ATLCP,0,0,0,0,0,0,0,0,0,0
ATLCZ,0,0,0,0,0,0,0,0,0,0
ATLO,0,0,0,0,0,0,0,0,0,0
ATLX,0,0,0,0,0,0,0,0,0,0
ATMC,0,0,0,0,0,0,0,0,0,0
ATMU,0,0,0,0,0,0,0,0,0,0
ATMV,0,0,0,0,0,0,0,0,0,0
ATMVR,0,0,0,0,0,0,0,0,0,0
